Player,Team,W,L,ERA,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,WP,HP,OBA
Cooper Hjerpe,Oregon State,11,2,2.53,18,17,0,0,1,103.1,67,31,29,23,161,3,10,0.18
Drew Thorpe,Cal Poly,10,1,2.32,15,15,1,1,0,104.2,65,31,27,25,149,5,2,0.175
Austin Peterson,Connecticut,11,3,3.83,18,17,0,0,0,110.1,100,58,47,25,147,1,10,0.239
Tanner Hall,Southern Miss,9,3,2.81,19,17,0,0,0,109,98,46,34,14,146,5,13,0.233
Parker Messick,Florida State,7,5,3.38,16,16,0,0,0,98.2,78,38,37,18,144,5,7,0.215
Shemar Page,Grambling,8,5,2.6,15,15,5,1,0,104,72,38,30,34,142,21,17,0.193
Justin Campbell,Oklahoma State,9,2,3.82,17,16,2,0,0,101.1,83,45,43,25,141,4,4,0.223
Hurston Waldrep,Southern Miss,6,2,3.2,17,17,2,1,0,90,71,38,32,33,140,13,6,0.213
Gabriel Hughes,Gonzaga,8,3,3.21,15,15,0,0,0,98,75,40,35,37,138,10,4,0.209
Jake Bennett,Oklahoma,10,4,3.69,20,19,0,0,1,117,106,57,48,22,133,6,9,0.236
Brycen Mautz,San Diego,10,2,3.87,16,15,1,1,0,90.2,90,40,39,22,129,2,8,0.258
Andrew Taylor,Central Michigan,8,4,3.21,17,15,1,0,1,84,61,32,30,27,126,3,6,0.202
Matt Duffy,Canisius,8,2,3.81,17,16,1,1,0,104,86,51,44,26,124,4,11,0.222
Jason Savacool,Maryland,8,3,2.93,17,16,0,0,0,107.2,84,40,35,28,123,0,5,0.213
Zebby Matthews,Western Carolina,4,6,3.67,22,10,0,0,4,95.2,94,50,39,21,122,8,8,0.253
Peter Hansen,Texas,11,3,3.76,17,17,1,1,0,107.2,94,47,45,19,120,2,5,0.233
Trey Dombroski,Monmouth,6,2,3.13,15,15,0,0,0,95,80,41,33,14,120,4,6,0.224
Carson Palmquist,Miami,9,4,2.89,16,16,0,0,0,84,70,33,27,32,118,1,7,0.221
Preston Johnson,Mississippi State,3,4,5.47,14,13,0,0,0,79,73,50,48,38,117,2,7,0.241
Joe Simeone,Gardner-Webb,9,6,3.59,15,15,4,2,0,105.1,78,45,42,31,116,6,10,0.202
Dylan Tebrake,Creighton,8,2,2.71,17,17,2,0,0,93,73,34,28,33,115,8,3,0.211
Brett Gillis,Portland,9,2,2.24,14,14,1,1,0,84.1,61,30,21,32,115,5,6,0.199
Kyle Jones,Toledo,7,3,4.24,17,15,2,0,1,91.1,86,47,43,25,114,16,6,0.24
Connor Noland,Arkansas,8,6,3.65,20,19,0,0,0,116,109,51,47,34,113,2,8,0.25
Nolan Santos,Bethune-Cookman,6,3,4.38,15,13,0,0,0,90.1,79,52,44,33,113,16,10,0.233
Tyler Schweitzer,Ball State,11,2,2.65,17,16,2,1,0,91.2,69,29,27,30,112,5,3,0.205
Patrick Pridgen,Florida International,2,7,4.77,14,14,0,0,0,71.2,69,46,38,44,112,14,14,0.246
John Michael Bertrand,Notre Dame,10,3,2.81,18,18,0,0,0,109,97,39,34,21,111,8,8,0.234
Quinn Mathews,Stanford,9,2,3.08,27,9,0,0,9,99.1,77,37,34,49,111,7,4,0.213
Thomas Harrington,Campbell,12,2,2.53,15,15,0,0,0,92.2,69,32,26,18,111,7,9,0.204
Daniel Avitia,Grand Canyon,8,5,4.06,15,12,0,0,0,84.1,70,43,38,19,111,3,12,0.227
Cade Kuehler,Campbell,4,6,4.07,16,15,0,0,0,84,57,42,38,38,111,18,5,0.184
Juaron Watts-Brown,Long Beach State,4,4,3.68,15,12,1,1,0,73.1,50,33,30,29,111,7,3,0.194
Pat Gallagher,Connecticut,11,3,3.41,17,17,1,1,0,103,97,43,39,29,110,7,3,0.246
Colin Fields,Valparaiso,4,7,5.38,15,15,0,0,0,73.2,71,49,44,46,110,5,8,0.258
Mason Adams,Jacksonville,5,5,4.8,15,15,0,0,0,90,84,53,48,31,108,8,13,0.246
Garrett Saylor,East Carolina,6,3,5.01,39,2,0,0,5,79,69,47,44,23,108,6,7,0.23
Chase Dollander,Tennessee,10,0,2.39,16,14,0,0,0,79,50,25,21,13,108,1,2,0.175
Cory Lewis,UC Santa Barbara,9,1,3.57,16,16,0,0,0,88.1,61,40,35,42,107,7,1,0.187
Trystan Vrieling,Gonzaga,4,4,4.91,15,15,0,0,0,80.2,75,48,44,46,107,7,3,0.246
Brandon Birdsell,Texas Tech,9,3,2.75,15,15,1,0,0,85,67,29,26,29,106,10,7,0.216
Nolan DeVos,Davidson,9,2,2.4,15,15,0,0,0,78.2,63,23,21,31,106,4,14,0.216
Rhett Lowder,Wake Forest,11,3,3.08,16,16,1,0,0,99.1,91,45,34,26,105,7,8,0.239
Dylan Delucia,Ole Miss,8,2,3.68,21,12,2,1,1,95.1,87,44,39,26,105,3,9,0.238
Spencer Giesting,Charlotte,7,4,3.72,21,6,0,0,0,75,59,34,31,42,105,6,3,0.213
Joshua Loeschorn,Long Island,11,3,3.06,17,16,0,0,1,97,87,50,33,29,104,2,11,0.231
Connor O'Halloran,Michigan,5,4,5.44,19,18,0,0,0,92.2,97,65,56,40,104,7,13,0.269
Zeke Wood,Texas State,7,1,3.78,17,16,0,0,0,88,59,45,37,51,103,8,8,0.19
Jared Poland,Louisville,5,5,3.46,17,15,0,0,0,83.1,79,45,32,32,103,5,6,0.245
Chase Burns,Tennessee,8,2,2.91,17,14,0,0,0,80.1,65,31,26,25,103,5,3,0.216
Ian Mejia,New Mexico State,6,4,4.29,16,15,1,1,0,100.2,116,59,48,32,102,11,7,0.286
Matt Brosky,Youngstown State,6,7,2.65,15,15,5,1,0,98.2,86,49,29,22,102,2,5,0.231
Nick Hull,Grand Canyon,7,1,3.72,16,16,0,0,0,96.2,90,43,40,28,102,10,4,0.25
David Sandlin,Oklahoma,9,4,5.59,19,18,0,0,0,95,100,63,59,31,102,2,8,0.267
Nate Peterson,Illinois-Chicago,4,5,3.89,14,14,1,1,0,88,85,46,38,21,102,4,5,0.252
Rob Hensey,Monmouth,3,7,3.87,14,14,0,0,0,81.1,81,46,35,13,102,2,6,0.256
Hunter Elliott,Ole Miss,5,3,2.7,20,12,0,0,0,80,57,29,24,34,102,6,10,0.201
Tyler Cleveland,Central Arkansas,7,2,2.93,14,14,4,1,0,95.1,84,36,31,16,101,1,4,0.235
Erik Gonzales,Jackson State,6,5,4.97,19,15,1,0,0,92.1,79,57,51,47,101,7,24,0.239
Cole Kitchen,Santa Clara,4,4,4.36,15,14,0,0,1,72.1,68,42,35,32,101,4,9,0.24
Roberto Maldonado,Prairie View,7,4,3.5,15,15,2,1,0,100.1,87,53,39,44,100,10,7,0.241
Chris McElvain,Vanderbilt,6,5,4.27,16,16,0,0,0,86.1,68,49,41,44,100,9,2,0.211
Kevin Stevens,UT Rio Grande Valley,9,2,2.66,14,14,1,1,0,81.1,69,26,24,29,100,5,3,0.23
Adam Mazur,Iowa,7,3,3.08,15,15,1,1,0,93.2,60,37,32,30,98,5,4,0.178
Ledgend Smith,Oral Roberts,7,5,2.5,15,14,0,0,0,82.2,70,30,23,22,98,4,5,0.231
Graham Laubscher,St. Thomas,4,6,5.47,14,12,0,0,1,79,79,49,48,42,98,3,10,0.27
Ixan Henderson,Fresno State,7,4,4.69,14,14,0,0,0,78.2,74,46,41,37,98,6,13,0.25
Isaiah Coupet,Ohio State,5,5,5.71,13,13,0,0,0,64.2,49,52,41,41,98,6,7,0.197
Blake Hely,Davidson,9,2,3.8,15,15,1,1,0,85.1,65,40,36,40,97,6,16,0.207
Carter Holton,Vanderbilt,8,4,3.14,15,15,2,1,0,80.1,56,32,28,29,97,5,13,0.192
Alex Williams,Stanford,8,4,3.2,18,18,2,1,0,101.1,87,42,36,25,96,9,6,0.229
Eli Morse,Portland,8,2,3.91,16,14,0,0,0,89.2,91,45,39,26,96,6,10,0.259
Paul Skenes,Air Force,10,3,2.73,15,15,0,0,0,85.2,70,30,26,30,96,5,5,0.224
Bryce Hubbart,Florida State,8,3,3.32,15,15,0,0,0,76,67,33,28,21,96,3,12,0.233
Trevor Nicholson,Eastern Illinois,5,2,4.71,15,13,0,0,2,72.2,71,42,38,30,96,4,3,0.258
Austin Parsley,UNC Greensboro,10,5,4.02,21,18,3,1,1,114.1,125,53,51,16,95,2,7,0.278
Shane Gray,Evansville,8,3,4.39,15,15,1,0,0,98.1,100,55,48,25,95,3,4,0.261
Ryan Jennings,Louisiana Tech,6,1,3.59,21,14,0,0,0,90.1,68,37,36,37,95,8,13,0.211
