Pitcher,Year,PitcherThrows,Strike_Percent,K_BB,median_Distance,median_ExitSpeed,median_Extension,median_RelSpeed_Fastball,median_RelSpeed_Slider,median_RelSpeed_Curveball,median_RelSpeed_ChangeUp,median_SpinRate_Fastball,median_SpinRate_Slider,median_SpinRate_Curveball,median_SpinRate_ChangeUp,median_SpinAxis_Fastball,median_SpinAxis_Slider,median_SpinAxis_Curveball,median_SpinAxis_ChangeUp,median_PlateLocHeight_Fastball,median_PlateLocHeight_Slider,median_PlateLocHeight_Curveball,median_PlateLocHeight_ChangeUp,median_PlateLocSide_Fastball,median_PlateLocSide_Slider,median_PlateLocSide_Curveball,median_PlateLocSide_ChangeUp,median_VertApprAngle_Fastball,median_VertApprAngle_Slider,median_VertApprAngle_Curveball,median_VertApprAngle_ChangeUp,median_HorzApprAngle_Fastball,median_HorzApprAngle_Slider,median_HorzApprAngle_Curveball,median_HorzApprAngle_ChangeUp,median_Angle_Fastball,median_Angle_Slider,median_Angle_Curveball,median_Angle_ChangeUp,median_InducedVertBreak_Fastball,median_InducedVertBreak_Slider,median_InducedVertBreak_Curveball,median_InducedVertBreak_ChangeUp,median_HorzBreak_Fastball,median_HorzBreak_Slider,median_HorzBreak_Curveball,median_HorzBreak_ChangeUp,ERA
"Abrahamowicz, Andrew",2019,RIGHT,0.5232558139534884,2,171.747607,84.01994668500001,5.437193301,82.072130225,NA,76.007471775,NA,2100.6032455,NA,1920.5077649999998,NA,222.60555340000002,NA,161.41556885,NA,2.3390863675,NA,2.5075614760000002,NA,0.14496660299999997,NA,0.0577075845,NA,-6.142454224,NA,-7.184397389,NA,-0.397070084,NA,-1.9070486835,NA,11.15219947,NA,19.55630639,NA,13.858107825,NA,9.179520272000001,NA,13.044143179999999,NA,-3.2573550565,NA,3.11
"Abrahamowicz, Andrew",2022,RIGHT,0.47058823529411764,2,135.55433,87.53399,5.071540000000001,84.84481,79.03167,NA,NA,2225.084171,2153.413583,NA,NA,231.357461,182.768612,NA,NA,2.91725,2.25328,NA,NA,0.26806,-0.49249,NA,NA,-5.655967,-7.689985,NA,NA,0.274575,-1.875169,NA,NA,13.500679,18.7358555,NA,NA,13.9065,3.75374,NA,NA,16.3691,0.21524,NA,NA,8.45
"Adametz, Joe",2022,LEFT,0.51,3.6363636363636362,53.96861,79.15488,5.293875,89.98715999999999,80.36838,NA,83.16143,2006.246037,2274.80788,NA,2087.488967,121.4378995,180.280987,NA,117.66989,1.9939550000000001,1.64524,NA,1.61927,-0.028745,0.41178,NA,-0.10494,-6.836505000000001,-8.581588,NA,-7.741125,0.22708450000000002,2.097252,NA,0.273012,6.8243,15.321851,NA,15.192626,11.21038,1.73638,NA,9.86288,-16.384245,0.00563,NA,-16.43627,2.51
"Adams, Blake",2022,RIGHT,0.53220696937698,2.0416666666666665,96.0982,81.53461,5.729765,91.687735,84.76874,78.96433,84.88256000000001,2283.0713020000003,2363.759677,2408.266299,1643.9545395,198.714608,118.507194,19.500756,244.2407455,2.31342,2.06015,1.98651,1.952005,0.36401,-0.07677,0.49793,0.6632849999999999,-5.45956,-7.484682,-9.87519,-7.0883395,-1.613934,-2.959871,-2.152784,-0.85726,20.336815,14.0630325,-1.3768764999999998,18.01953,16.76617,2.38862,-14.10363,6.863135,5.2937650000000005,-2.80807,-4.90217,13.165600000000001,5.07
"Adams, Connor",2022,LEFT,0.4810126582278481,2,167.832265,76.2859,6.23774,86.135305,NA,75.085385,NA,2123.121568,NA,2525.683261,NA,140.29429800000003,NA,307.60184000000004,NA,2.9460300000000004,NA,2.265215,NA,-0.861775,NA,-0.303765,NA,-4.967855500000001,NA,-8.5803925,NA,0.536097,NA,3.0465225,NA,11.346936,NA,6.555141,NA,15.126625,NA,-5.05026,NA,-11.012350000000001,NA,9.257819999999999,NA,5.86
"Adams, Mason",2022,RIGHT,0.6434782608695652,1,132.62478,81.39437,5.81542,90.961455,82.404765,NA,85.94003,2400.662328,2653.431245,NA,1674.899416,226.00787250000002,64.30803900000001,NA,253.358337,2.26763,1.79764,NA,1.30255,0.12413,-0.383805,NA,0.25222,-5.397176,-7.7808325,NA,-7.390438,-0.2511425,-2.637225,NA,0.086496,19.573486,31.214794,NA,3.664419,13.214065,-3.35825,NA,5.74559,13.258295,-7.515675,NA,15.67906,4.8
"Agassi, Jaden",2022,RIGHT,0.5492537313432836,1.8666666666666667,139.533275,84.672985,6.10197,88.417745,81.6177,76.94825499999999,82.1083,1933.0570965,1991.123002,2288.0911285,1752.276151,211.737896,150.436474,40.1019125,237.734364,2.648025,2.045845,2.25221,1.88213,-0.041575,-0.42657,-0.377155,0.17894500000000002,-5.512544500000001,-7.770201500000001,-8.978672,-7.385225999999999,-0.5574055,-2.705306,-2.0480475,-0.214194,24.37858,12.742812,14.02541,12.9572395,18.265105,5.238645,-5.140454999999999,10.380145,10.603945,-2.06333,-6.474,14.91922,4.34
"Agnew, Josh",2021,RIGHT,0.5191815856777494,3.5,161.71374329999998,86.990430425,5.80508977,88.80712183,81.29537096499999,NA,80.75288184,2258.479144,2208.9715834999997,NA,1803.527126,229.442805,192.85254379999998,NA,243.0810557,2.633794443,2.0537695545,NA,1.770522709,0.319457426,-0.8007028190000001,NA,0.149132677,-5.648922007,-7.5323100585,NA,-7.483134321,-1.162239756,-3.707878425,NA,-1.298899141,18.367144,17.1990304195,NA,7.985897517,14.88410895,8.643743158,NA,9.5932436,17.89217761,2.215479728,NA,19.32235701,3.06
"Agnos, Jake",2019,LEFT,0.49834437086092714,4.357142857142857,174.6814985,83.72188821,5.148093631,89.89330282,NA,74.967103065,81.78786053,2317.831851,NA,1900.2210479999999,1636.233722,154.03015825,NA,312.3728871,139.369166,2.6449232765,NA,1.7774125285,2.8039343425,0.0277589195,NA,-0.14001640599999998,-0.4353649295,-5.243739236,NA,-10.084185375,-6.343962900499999,0.6208182664999999,NA,1.428063914,0.26522859849999997,19.70813122,NA,22.50595878,0.01886478549999998,20.14810093,NA,-4.4563574245,14.971575009999999,-9.962914476,NA,0.9686724895000001,-12.269072635,2.29
"Aldaz, Jesus",2022,RIGHT,0.5972222222222222,0.75,189.99588,80.39787,5.813549999999999,90.46626,NA,NA,81.29094,2058.518927,NA,NA,1959.112565,215.974388,NA,NA,261.71034,2.82445,NA,NA,1.92314,0.2785,NA,NA,0.39023,-4.952889,NA,NA,-7.464362,-0.246315,NA,NA,0.266481,37.134015,NA,NA,12.455539,16.59402,NA,NA,3.97858,10.76505,NA,NA,15.928,5.35
